topology,meter_distribution,compromised_fraction,trial_id,true_load,perceived_load_baseline,J_baseline,perceived_load_attack,J_attack,delta_J,perceived_load_drop_percent,success_flag
ACTIVSg500_real,paper,0.2,88,7750.66,7750.66,0.0,6200.528,2503116.003629944,2503116.003629944,19.999999999999993,0
ACTIVSg500_real,paper,0.2,89,7750.66,7750.66,0.0,6300.279999999999,2207306.2635255298,2207306.2635255298,18.712987023040633,0
ACTIVSg500_real,paper,0.2,90,7750.66,7750.66,0.0,6200.528,2543895.9996698084,2543895.9996698084,19.999999999999993,0
ACTIVSg500_real,paper,0.2,91,7750.66,7750.66,0.0,6395.5599999999995,1958213.5620932132,1958213.5620932132,17.483672358224982,0
ACTIVSg500_real,paper,0.2,92,7750.66,7750.66,0.0,6245.860000000001,2388744.0353480545,2388744.0353480545,19.415120776811257,0
ACTIVSg500_real,paper,0.2,93,7750.66,7750.66,0.0,6200.528,2543606.841221185,2543606.841221185,19.999999999999993,0
ACTIVSg500_real,paper,0.2,94,7750.66,7750.66,0.0,6509.749999999999,1630442.2521833985,1630442.2521833985,16.010378470994738,0
ACTIVSg500_real,paper,0.2,95,7750.66,7750.66,0.0,6200.527999999999,2563818.57836324,2563818.57836324,20.000000000000007,1
ACTIVSg500_real,paper,0.2,96,7750.66,7750.66,0.0,6200.528,2543247.5348190153,2543247.5348190153,19.999999999999993,0
ACTIVSg500_real,paper,0.2,97,7750.66,7750.66,0.0,6709.41,1161720.853558621,1161720.853558621,13.434339785256999,0
ACTIVSg500_real,paper,0.2,98,7750.66,7750.66,0.0,6200.528,2562685.509817466,2562685.509817466,19.999999999999993,0
ACTIVSg500_real,paper,0.2,99,7750.66,7750.66,0.0,6200.528,2549959.728023133,2549959.728023133,19.999999999999993,0
ACTIVSg500_real,paper,0.4,0,7750.66,7750.66,0.0,6200.528,2516372.9149692617,2516372.9149692617,19.999999999999993,0
ACTIVSg500_real,paper,0.4,1,7750.66,7750.66,0.0,6200.528,2469089.379812158,2469089.379812158,19.999999999999993,0
ACTIVSg500_real,paper,0.4,2,7750.66,7750.66,0.0,6200.528,2473714.642987271,2473714.642987271,19.999999999999993,0
ACTIVSg500_real,paper,0.4,3,7750.66,7750.66,0.0,6200.528,2474759.180787009,2474759.180787009,19.999999999999993,0
ACTIVSg500_real,paper,0.4,4,7750.66,7750.66,0.0,6200.528000000001,2506441.6083942857,2506441.6083942857,19.999999999999982,0
ACTIVSg500_real,paper,0.4,5,7750.66,7750.66,0.0,6200.527999999999,2491297.692773653,2491297.692773653,20.000000000000007,1
ACTIVSg500_real,paper,0.4,6,7750.66,7750.66,0.0,6200.528,2497013.818890221,2497013.818890221,19.999999999999993,0
ACTIVSg500_real,paper,0.4,7,7750.66,7750.66,0.0,6200.528,2504626.0939032724,2504626.0939032724,19.999999999999993,0
ACTIVSg500_real,paper,0.4,8,7750.66,7750.66,0.0,6200.528,2508257.4600679222,2508257.4600679222,19.999999999999993,0
ACTIVSg500_real,paper,0.4,9,7750.66,7750.66,0.0,6200.528,2470891.9094113884,2470891.9094113884,19.999999999999993,0
ACTIVSg500_real,paper,0.4,10,7750.66,7750.66,0.0,6200.528,2508844.898089536,2508844.898089536,19.999999999999993,0
ACTIVSg500_real,paper,0.4,11,7750.66,7750.66,0.0,6200.528,2515170.2870581113,2515170.2870581113,19.999999999999993,0
ACTIVSg500_real,paper,0.4,12,7750.66,7750.66,0.0,6200.528,2475674.885699626,2475674.885699626,19.999999999999993,0
ACTIVSg500_real,paper,0.4,13,7750.66,7750.66,0.0,6200.528,2509625.4169488573,2509625.4169488573,19.999999999999993,0
ACTIVSg500_real,paper,0.4,14,7750.66,7750.66,0.0,6200.527999999999,2484053.296914013,2484053.296914013,20.000000000000007,1
ACTIVSg500_real,paper,0.4,15,7750.66,7750.66,0.0,6200.528,2483254.330493943,2483254.330493943,19.999999999999993,0
ACTIVSg500_real,paper,0.4,16,7750.66,7750.66,0.0,6200.528,2486542.182217391,2486542.182217391,19.999999999999993,0
